Bookmaker,Date,Start Time (UTC),Home Team Unparse,Away Team Unparse,Home Odd,Draw Odd,Away Odd,scrapping_time,Date Unparse,Sport,Home Team Std,Away Team Std
Zebet,2025-01-08,2025-01-08T04:30:00Z,SJ Sharks,VEG GKnights,4.25,4.35,1.63,,,NHL,SJS - San Jose Sharks,VGK - Vegas Golden Knights
Zebet,2025-01-09,2025-01-09T01:30:00Z,CHI Blackhawks,CLR Avalanche,3.9,4.35,1.63,,,NHL,CHI - Chicago Black Hawks/Blackhawks,COL - Colorado Avalanche
Zebet,2025-01-09,2025-01-09T01:30:00Z,WAS Capitals,VAN Canucks,1.89,4.05,3.05,,,NHL,WSH - Washington Capitals,VAN - Vancouver Canucks
Zebet,2025-01-09,2025-01-09T04:00:00Z,UTA HockeyClub,FLO Panthers,2.65,3.95,2.15,,,NHL,UTA - Utah Hockey Club,FLA - Florida Panthers
Zebet,2025-01-09,2025-01-09T04:30:00Z,LA Kings,CAL Flames,1.68,4.2,3.75,,,NHL,LAK - Los Angeles Kings,CGY - Calgary Flames
Netbet,,,Boston Bruins,Edmonton Oilers,2.85,4.1,2.02,,,NHL,BOS - Boston Bruins,EDM - Edmonton Oilers
Netbet,,,Detroit Red Wings,Ottawa Senators,2.5,4.0,2.25,,,NHL,DET - Detroit Red Wings,OTT - Ottawa Senators
Netbet,,,New York Rangers,Dallas Stars,3.15,4.2,1.87,,,NHL,NYR - New York Rangers,DAL - Dallas Stars
Netbet,,,Pittsburgh Penguins,Columbus Blue Jackets,1.98,4.2,2.9,,,NHL,PIT - Pittsburgh Penguins,CBJ - Columbus Blue Jackets
Netbet,,,Tampa Bay Lightning,Carolina Hurricanes,2.5,3.95,2.27,,,NHL,TBL - Tampa Bay Lightning,CAR - Carolina Hurricanes
Netbet,,,Philadelphia Flyers,Toronto Maple Leafs,2.8,4.0,2.05,,,NHL,PHI - Philadelphia Flyers,TOR - Toronto Maple Leafs
Netbet,,,Minnesota Wild,St. Louis Blues,2.22,3.9,2.6,,,NHL,MIN - Minnesota Wild,STL - St. Louis Blues
Netbet,,,Winnipeg Jets,Nashville Predators,1.97,4.1,2.95,,,NHL,WPG - Winnipeg Jets,NSH - Nashville Predators
Netbet,,,Anaheim Ducks,Calgary Flames,2.82,4.1,2.05,,,NHL,ANA - Mighty Ducks of Anaheim/Anaheim Ducks,CGY - Calgary Flames
Netbet,,,San Jose Sharks,Vegas Golden Knights,4.2,4.4,1.58,,,NHL,SJS - San Jose Sharks,VGK - Vegas Golden Knights
Winamax,2025-01-09,2025-01-09T01:30:00Z,Washington Capitals,Vancouver Canucks,1.84,4.2,3.35,,,NHL,WSH - Washington Capitals,VAN - Vancouver Canucks
Winamax,2025-01-09,2025-01-09T01:30:00Z,Chicago Blackhawks,Colorado Avalanche,4.0,4.5,1.64,,,NHL,CHI - Chicago Black Hawks/Blackhawks,COL - Colorado Avalanche
Winamax,2025-01-09,2025-01-09T04:00:00Z,Utah Hockey Club,Florida Panthers,2.6,3.9,2.1,,,NHL,UTA - Utah Hockey Club,FLA - Florida Panthers
Winamax,2025-01-09,2025-01-09T04:30:00Z,Los Angeles Kings,Calgary Flames,1.62,4.2,3.85,,,NHL,LAK - Los Angeles Kings,CGY - Calgary Flames
